user_id,is_fraud,persona
USER00000000,0,normal
USER00000001,0,normal
USER00000002,0,normal
USER00000003,0,normal
USER00000004,0,normal
USER00000005,0,normal
USER00000006,0,normal
USER00000007,0,normal
USER00000008,0,normal
USER00000009,0,normal
USER00000010,0,normal
USER00000011,0,normal
USER00000012,0,normal
USER00000013,1,serial_returner
USER00000014,0,normal
USER00000015,0,normal
USER00000016,0,normal
USER00000017,1,serial_returner
USER00000018,0,normal
USER00000019,0,normal
USER00000020,0,normal
USER00000021,0,normal
USER00000022,0,normal
USER00000023,0,normal
USER00000024,0,normal
USER00000025,0,normal
USER00000026,0,normal
USER00000027,0,normal
USER00000028,0,normal
USER00000029,0,normal
USER00000030,0,normal
USER00000031,0,normal
USER00000032,0,normal
USER00000033,0,normal
USER00000034,0,normal
USER00000035,0,normal
USER00000036,0,normal
USER00000037,0,normal
USER00000038,0,normal
USER00000039,0,normal
USER00000040,0,normal
USER00000041,0,normal
USER00000042,0,normal
USER00000043,0,normal
USER00000044,0,normal
USER00000045,0,normal
USER00000046,0,normal
USER00000047,0,normal
USER00000048,0,normal
USER00000049,0,normal
USER00000050,0,normal
USER00000051,0,normal
USER00000052,0,normal
USER00000053,0,normal
USER00000054,0,normal
USER00000055,0,normal
USER00000056,0,normal
USER00000057,0,normal
USER00000058,0,normal
USER00000059,0,normal
USER00000060,0,normal
USER00000061,0,normal
USER00000062,0,normal
USER00000063,0,normal
USER00000064,1,serial_returner
USER00000065,0,normal
USER00000066,0,normal
USER00000067,0,normal
USER00000068,0,normal
USER00000069,0,normal
USER00000070,0,normal
USER00000071,0,normal
USER00000072,0,normal
USER00000073,0,normal
USER00000074,0,normal
USER00000075,0,normal
USER00000076,0,normal
USER00000077,0,normal
USER00000078,0,normal
USER00000079,0,normal
USER00000080,0,normal
USER00000081,0,normal
USER00000082,0,normal
USER00000083,0,normal
USER00000084,0,normal
USER00000085,0,normal
USER00000086,0,normal
USER00000087,0,normal
USER00000088,0,normal
USER00000089,0,normal
USER00000090,0,normal
USER00000091,0,normal
USER00000092,0,normal
USER00000093,0,normal
USER00000094,0,normal
USER00000095,0,normal
USER00000096,0,normal
USER00000097,0,normal
USER00000098,0,normal
USER00000099,0,normal
USER00000100,0,normal
USER00000101,0,normal
USER00000102,0,normal
USER00000103,0,normal
USER00000104,0,normal
USER00000105,0,normal
USER00000106,0,normal
USER00000107,0,normal
USER00000108,0,normal
USER00000109,0,normal
USER00000110,0,normal
USER00000111,0,normal
USER00000112,0,normal
USER00000113,0,normal
USER00000114,0,normal
USER00000115,0,normal
USER00000116,0,normal
USER00000117,0,normal
USER00000118,0,normal
USER00000119,0,normal
USER00000120,0,normal
USER00000121,0,normal
USER00000122,0,normal
USER00000123,0,normal
USER00000124,0,normal
USER00000125,0,normal
USER00000126,0,normal
USER00000127,0,normal
USER00000128,0,normal
USER00000129,0,normal
USER00000130,0,normal
USER00000131,1,high_value_abuser
USER00000132,0,normal
USER00000133,0,normal
USER00000134,0,normal
USER00000135,0,normal
USER00000136,0,normal
USER00000137,0,normal
USER00000138,0,normal
USER00000139,0,normal
USER00000140,0,normal
USER00000141,0,normal
USER00000142,0,normal
USER00000143,0,normal
USER00000144,0,normal
USER00000145,0,normal
USER00000146,0,normal
USER00000147,0,normal
USER00000148,0,normal
USER00000149,1,high_value_abuser
USER00000150,0,normal
USER00000151,0,normal
USER00000152,0,normal
USER00000153,0,normal
USER00000154,0,normal
USER00000155,0,normal
USER00000156,0,normal
USER00000157,0,normal
USER00000158,0,normal
USER00000159,0,normal
USER00000160,0,normal
USER00000161,0,normal
USER00000162,0,normal
USER00000163,0,normal
USER00000164,0,normal
USER00000165,0,normal
USER00000166,0,normal
USER00000167,0,normal
USER00000168,0,normal
USER00000169,0,normal
USER00000170,0,normal
USER00000171,0,normal
USER00000172,0,normal
USER00000173,0,normal
USER00000174,0,normal
USER00000175,0,normal
USER00000176,0,normal
USER00000177,1,wardrober
USER00000178,0,normal
USER00000179,0,normal
USER00000180,0,normal
USER00000181,0,normal
USER00000182,0,normal
USER00000183,0,normal
USER00000184,0,normal
USER00000185,0,normal
USER00000186,1,high_value_abuser
USER00000187,0,normal
USER00000188,0,normal
USER00000189,0,normal
USER00000190,0,normal
USER00000191,0,normal
USER00000192,0,normal
USER00000193,0,normal
USER00000194,0,normal
USER00000195,0,normal
USER00000196,0,normal
USER00000197,0,normal
USER00000198,0,normal
USER00000199,0,normal
USER00000200,0,normal
USER00000201,0,normal
USER00000202,0,normal
USER00000203,0,normal
USER00000204,0,normal
USER00000205,0,normal
USER00000206,0,normal
USER00000207,0,normal
USER00000208,0,normal
USER00000209,0,normal
USER00000210,0,normal
USER00000211,0,normal
USER00000212,0,normal
USER00000213,0,normal
USER00000214,0,normal
USER00000215,0,normal
USER00000216,0,normal
USER00000217,0,normal
USER00000218,0,normal
USER00000219,0,normal
USER00000220,0,normal
USER00000221,0,normal
USER00000222,0,normal
USER00000223,0,normal
USER00000224,0,normal
USER00000225,0,normal
USER00000226,0,normal
USER00000227,0,normal
USER00000228,0,normal
USER00000229,0,normal
USER00000230,0,normal
USER00000231,0,normal
USER00000232,0,normal
USER00000233,0,normal
USER00000234,0,normal
USER00000235,0,normal
USER00000236,0,normal
USER00000237,0,normal
USER00000238,0,normal
USER00000239,0,normal
USER00000240,0,normal
USER00000241,0,normal
USER00000242,0,normal
USER00000243,0,normal
USER00000244,0,normal
USER00000245,0,normal
USER00000246,0,normal
USER00000247,0,normal
USER00000248,0,normal
USER00000249,0,normal
USER00000250,0,normal
USER00000251,0,normal
USER00000252,0,normal
USER00000253,0,normal
USER00000254,0,normal
USER00000255,0,normal
USER00000256,0,normal
USER00000257,0,normal
USER00000258,0,normal
USER00000259,0,normal
USER00000260,0,normal
USER00000261,1,wardrober
USER00000262,0,normal
USER00000263,0,normal
USER00000264,0,normal
USER00000265,0,normal
USER00000266,0,normal
USER00000267,0,normal
USER00000268,0,normal
USER00000269,0,normal
USER00000270,0,normal
USER00000271,0,normal
USER00000272,0,normal
USER00000273,0,normal
USER00000274,0,normal
USER00000275,0,normal
USER00000276,0,normal
USER00000277,0,normal
USER00000278,0,normal
USER00000279,0,normal
USER00000280,0,normal
USER00000281,0,normal
USER00000282,1,wardrober
USER00000283,0,normal
USER00000284,1,serial_returner
USER00000285,0,normal
USER00000286,0,normal
USER00000287,0,normal
USER00000288,0,normal
USER00000289,0,normal
USER00000290,0,normal
USER00000291,0,normal
USER00000292,1,serial_returner
USER00000293,0,normal
USER00000294,0,normal
USER00000295,0,normal
USER00000296,0,normal
USER00000297,0,normal
USER00000298,0,normal
USER00000299,0,normal
USER00000300,0,normal
USER00000301,0,normal
USER00000302,0,normal
USER00000303,0,normal
USER00000304,0,normal
USER00000305,0,normal
